pdf,png,qualification,institution,date,link,category,grade,honors,display,type,rank
data_engineering_project_build_streaming_ingestion_pipelines_for_snowflake_with_aws.pdf,data_engineering_project_build_streaming_ingestion_pipelines_for_snowflake_with_aws.png,Data Engineering Project: Build Streaming Ingestion Pipelines for Snowflake with AWS,LinkedIn,03/25/2024,https://www.linkedin.com/learning/certificates/8b3c64e3203407358d11cfabd6f0c056c207817484525eaa96e22f44fb98fc08?trk=share_certificate,"database,snowflake",,,True,,0
choosing_a_database_postgresql_mysql_mongo_and_cloud.pdf,choosing_a_database_postgresql_mysql_mongo_and_cloud.png,"Choosing a Database: PostgreSQL, MySQL, Mongo, and Cloud",LinkedIn,04/19/2024,https://www.linkedin.com/learning/certificates/24e730c8ee3342edc5823b5cf9f020553f550b959895ba4abbb31e71e6e14162?trk=share_certificate,"database,sql",,,True,,1
advanced_python_practical_database_examples.pdf,advanced_python_practical_database_examples.png,Advanced Python: Practical Database Examples,LinkedIn,07/12/2024,https://www.linkedin.com/learning/certificates/fbe73a1cc0597ba4cce881a27e6aba2ab644c24a325ebf985cb1fbaf80557229?trk=share_certificate,"database,python",,,True,,2
advanced_sql_for_application_development.pdf,advanced_sql_for_application_development.png,Advanced SQL for Application Development,LinkedIn,07/30/2024,https://www.linkedin.com/learning/certificates/1720a784229a42265e12f8fe75215434e8985d503cd489a04e5a66415115e9a9?trk=share_certificate,"database,sql",,,True,,3
building_restful_apis_with_flask.pdf,building_restful_apis_with_flask.png,Building RESTful APIs with Flask,LinkedIn,07/30/2024,https://www.linkedin.com/learning/certificates/6fc395b190b2398fe1c77710873553fdb12d25294ca503d4f04a12112987ffa4?trk=share_certificate,python,,,True,,4
advanced_python_working_with_databases.pdf,advanced_python_working_with_databases.png,Advanced Python: Working with Databases,LinkedIn,07/26/2024,https://www.linkedin.com/learning/certificates/b65d54a1f9a3977ed96ff37b0ef9ba9d6b3574b0974c85c6255329eebf2133f7?trk=share_certificate,python,,,True,,5
git_from_scratch.pdf,git_from_scratch.png,Git from Scratch,LinkedIn,05/02/2023,https://www.linkedin.com/learning/certificates/a38c94ff6084cf1b6d660bef2b36510ac036aec02269acd0df9d2c879a0c47f9?trk=share_certificate,python,,,True,,6
git_essential_training_2023.pdf,git_essential_training_2023.png,Git Essential Training (2023),LinkedIn,05/02/2023,https://www.linkedin.com/learning/certificates/ef6a7d9a412ad65166425623e4bcea40359176db5c75957e924641fb6a3e233a?trk=share_certificate,python,,,True,,7
fme_desktop_data_translation_for_aec.pdf,fme_desktop_data_translation_for_aec.png,FME Desktop: Data Translation for AEC,LinkedIn,03/22/2024,https://www.linkedin.com/learning/certificates/81348d3cbb7f25a5a601b2384f1626dfa07fbb480d59e58df63b385b0e1ca0d8?trk=share_certificate,gis,,,True,,8
advanced_snowflake_deep_dive_cloud_data_warehousing_and_analytics.pdf,advanced_snowflake_deep_dive_cloud_data_warehousing_and_analytics.png,Advanced Snowflake: Deep Dive Cloud Data Warehousing and Analytics,LinkedIn,03/25/2024,https://www.linkedin.com/learning/certificates/1bdc273fa7782ff124e19e0af85cfc1a83645372e63827f41eaf91eaef2bcac9?trk=share_certificate,"database,snowflake",,,True,,9
